TYPE_ETABLISSEMENT_ANNEE_SCOLAIRE;LIBELLE_ETABLISSEMENT;ADRESSE;ARRONDISSEMENT;CODE_INSEE NUMBER;ANNEE_SCOLAIRE;TYPE_ETABLISSEMENT;GEO_SHAPE;GEO_POINT_2D
MATERNELLES (année scolaire 2022/2023);CEPRE (13) MAT;13 RUE CEPRE;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.303604368736968, 48.846624363452094], ""type"": ""Point""}";48.846624363452094, 2.303604368736968
MATERNELLES (année scolaire 2022/2023);ARISTIDE MAILLOL (15) MAT;15 RUE ARISTIDE MAILLOL;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.312413082838331, 48.837855797585014], ""type"": ""Point""}";48.837855797585014, 2.312413082838331
MATERNELLES (année scolaire 2022/2023);CHARDON LAGACHE (64) MAT;64 RUE CHARDON LAGACHE;16ème Ardt;75116;2022-2023;Maternelle;"{""coordinates"": [2.2642222829511116, 48.84236112820665], ""type"": ""Point""}";48.84236112820665, 2.2642222829511116
MATERNELLES (année scolaire 2022/2023);MARTEL (9) MAT;9 RUE MARTEL;10ème Ardt;75110;2022-2023;Maternelle;"{""coordinates"": [2.3529146234831875, 48.873975166082054], ""type"": ""Point""}";48.873975166082054, 2.3529146234831875
MATERNELLES (année scolaire 2022/2023);RODIER (30) MAT;30 RUE RODIER;9ème Ardt;75109;2022-2023;Maternelle;"{""coordinates"": [2.343003990474678, 48.87870345656933], ""type"": ""Point""}";48.87870345656933, 2.343003990474678
MATERNELLES (année scolaire 2022/2023);OLIVIER METRA (29) MAT;29 RUE OLIVIER METRA;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.393865538583321, 48.87297651621066], ""type"": ""Point""}";48.87297651621066, 2.393865538583321
MATERNELLES (année scolaire 2022/2023);GODEFROY CAVAIGNAC (31) MAT;31 RUE GODEFROY CAVAIGNAC;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.380704174603892, 48.855760916573004], ""type"": ""Point""}";48.855760916573004, 2.380704174603892
MATERNELLES (année scolaire 2022/2023);ELISA LEMONNIER (15) MAT;15 RUE ELISA LEMONNIER;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.3894443244272425, 48.8408390379134], ""type"": ""Point""}";48.8408390379134, 2.3894443244272425
MATERNELLES (année scolaire 2022/2023);PAUL DUBOIS (6) MAT;;3ème Ardt;75103;2022-2023;Maternelle;"{""coordinates"": [2.361363398296804, 48.865333986587366], ""type"": ""Point""}";48.865333986587366, 2.361363398296804
MATERNELLES (année scolaire 2022/2023);VOLTAIRE (6) MAT;6 CITE VOLTAIRE;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.3900839755646204, 48.85257530745052], ""type"": ""Point""}";48.85257530745052, 2.3900839755646204
MATERNELLES (année scolaire 2022/2023);EBLE (14) MAT;14 RUE EBLE;7ème Ardt;75107;2022-2023;Maternelle;"{""coordinates"": [2.3129223063567297, 48.84899535283046], ""type"": ""Point""}";48.84899535283046, 2.3129223063567297
MATERNELLES (année scolaire 2022/2023);FRANCOIS COPPEE (10) MAT;10 RUE FRANCOIS COPPEE;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.287597766254118, 48.839927003681424], ""type"": ""Point""}";48.839927003681424, 2.287597766254118
MATERNELLES (année scolaire 2022/2023);JONGKIND (3) MAT;3 RUE JONGKIND;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.2796129979538935, 48.83926395142047], ""type"": ""Point""}";48.83926395142047, 2.2796129979538935
MATERNELLES (année scolaire 2022/2023);JENNER (46) MAT;46 RUE JENNER;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.36087574556163, 48.83603938481635], ""type"": ""Point""}";48.83603938481635, 2.36087574556163
MATERNELLES (année scolaire 2022/2023);POMMARD (33) MAT;33 RUE DE POMMARD;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.3837080784822082, 48.83641592073815], ""type"": ""Point""}";48.83641592073815, 2.3837080784822082
MATERNELLES (année scolaire 2022/2023);BOISSIERE (56) POLY;56 RUE BOISSIERE;16ème Ardt;75116;;Polyvalent;"{""coordinates"": [2.288044144313185, 48.86804861016124], ""type"": ""Point""}";48.86804861016124, 2.288044144313185
MATERNELLES (année scolaire 2022/2023);FRANCOISE DORLEAC (2) MAT;2 PLACE FRANCOISE DORLEAC;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.337452792317367, 48.8993899007631], ""type"": ""Point""}";48.8993899007631, 2.337452792317367
MATERNELLES (année scolaire 2022/2023);CHOISY (4 B) MAT;4 bis AVENUE DE CHOISY;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.3648627277329224, 48.82064046139026], ""type"": ""Point""}";48.82064046139026, 2.3648627277329224
MATERNELLES (année scolaire 2022/2023);CHRISTIANI (8) MAT;8 RUE CHRISTIANI;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3487390783143707, 48.88595158914906], ""type"": ""Point""}";48.88595158914906, 2.3487390783143707
MATERNELLES (année scolaire 2022/2023);PARADIS (20) MAT;;10ème Ardt;75110;2022-2023;Maternelle;"{""coordinates"": [2.3535442338358408, 48.874871515601875], ""type"": ""Point""}";48.874871515601875, 2.3535442338358408
