Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
4892;PORTE BRANCION (5) ELEM;5 AVENUE DE LA PORTE BRANCION;15ème Ardt;75115;2022-2023;ELE;;;;;"{""coordinates"": [2.3020938881021684, 48.82745045804661], ""type"": ""Point""}";48.82745045804661, 2.3020938881021684
COLLEGES (année scolaire 2022/2023);STEPHANE MALLARME;29 RUE DE LA JONQUIERE;17ème Ardt;75117;2022-2023;Collège;;;;;"{""coordinates"": [2.32448159826506, 48.8934820195837], ""type"": ""Point""}";48.8934820195837, 2.32448159826506
4890;CLOS (18) MAT;18 RUE DU CLOS;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.407068203473641, 48.857226830493836], ""type"": ""Point""}";48.857226830493836, 2.407068203473641
4890;ERLANGER (58) MAT;58 RUE ERLANGER;16ème Ardt;75116;2022-2023;MAT;;;;;"{""coordinates"": [2.2597070535003074, 48.84426466038021], ""type"": ""Point""}";48.84426466038021, 2.2597070535003074
4890;DELAMBRE (24) MAT;24 RUE DELAMBRE;14ème Ardt;75114;2022-2023;MAT;;;;;"{""coordinates"": [2.326808868876013, 48.84159829348391], ""type"": ""Point""}";48.84159829348391, 2.326808868876013
4892;PEREIRE (221) ELEM;221 BOULEVARD PEREIRE;17ème Ardt;75117;2022-2023;ELE;;;;;"{""coordinates"": [2.2892896889989873, 48.88056489268451], ""type"": ""Point""}";48.88056489268451, 2.2892896889989873
4892;LAUGIER (16) ELEM;16 RUE LAUGIER;17ème Ardt;75117;2022-2023;ELE;;;;;"{""coordinates"": [2.29683196052162, 48.88025971883633], ""type"": ""Point""}";48.88025971883633, 2.29683196052162
4892;VANDREZANNE (38) ELEM;38 RUE VANDREZANNE;13ème Ardt;75113;2022-2023;ELE;;;;;"{""coordinates"": [2.3531768485012243, 48.827838772043535], ""type"": ""Point""}";48.827838772043535, 2.3531768485012243
4890;GRANGE BATELIERE (11) MAT;11 RUE DE LA GRANGE BATELIERE;9ème Ardt;75109;2022-2023;MAT;;;;;"{""coordinates"": [2.34206379278396, 48.87301747146782], ""type"": ""Point""}";48.87301747146782, 2.34206379278396
COLLEGES (année scolaire 2022/2023);CAMILLE CLAUDEL;4 bis AVENUE DE CHOISY;13ème Ardt;75113;2022-2023;Collège;;;;;"{""coordinates"": [2.3648627277329224, 48.82064046139026], ""type"": ""Point""}";48.82064046139026, 2.3648627277329224
4890;BOIS (2) MAT;2 RUE DES BOIS;19ème Ardt;75119;2022-2023;MAT;;;;;"{""coordinates"": [2.395828176734433, 48.87764997219968], ""type"": ""Point""}";48.87764997219968, 2.395828176734433
4890;ANTOINE CHANTIN (22) MAT;22 RUE ANTOINE CHANTIN;14ème Ardt;75114;2022-2023;MAT;;;;;"{""coordinates"": [2.322533613806645, 48.827282456211165], ""type"": ""Point""}";48.827282456211165, 2.322533613806645
4890;BOULARD (23) MAT;23 RUE BOULARD;14ème Ardt;75114;2022-2023;MAT;;;;;"{""coordinates"": [2.3289352314031793, 48.833736699754986], ""type"": ""Point""}";48.833736699754986, 2.3289352314031793
4892;POISSONNIERS (142) POLY;142 RUE DES POISSONNIERS;18ème Ardt;75118;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3530219082435435, 48.896813673292016], ""type"": ""Point""}";48.896813673292016, 2.3530219082435435
4892;PICPUS (56) ELEM A;56 RUE DE PICPUS (ECOLE B);12ème Ardt;75112;2022-2023;ELE;;;;;"{""coordinates"": [2.396622583993179, 48.84359141551742], ""type"": ""Point""}";48.84359141551742, 2.396622583993179
4892;BELZUNCE (3) POLY;3 RUE DE BELZUNCE;10ème Ardt;75110;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.352834090670799, 48.87919121558662], ""type"": ""Point""}";48.87919121558662, 2.352834090670799
