ZONAGE;N_SQ_PPRIZONE;ST_AREA_SHAPE;ST_PERIMETER_SHAPE;GEO_SHAPE;GEO_POINT_2D
B;209;5543.116374516894;290.9153072457489;"{""coordinates"": [[[2.323210974144257, 48.87210084919658], [2.3232016102066115, 48.87207014579866], [2.323162454046735, 48.871938762643296], [2.3231224451459913, 48.871806396152586], [2.323059452833052, 48.8716005394479], [2.3230228191765323, 48.87158845105933], [2.3227305506515754, 48.87168080230967], [2.322521785539035, 48.87174681791683], [2.3222627458751974, 48.871828634137444], [2.3222303559743493, 48.871875139162036], [2.3221442643834758, 48.87199695221632], [2.322055615893365, 48.872121715844614], [2.322070087850761, 48.87216675139035], [2.3221100966575925, 48.8722868943557], [2.322123717683218, 48.872323991079945], [2.322127973305889, 48.87233944787622], [2.322138189983034, 48.87236607587186], [2.3221552133513965, 48.872422915308924], [2.322165430971757, 48.87244947315678], [2.3221696866288433, 48.87246471950407], [2.3221799019887115, 48.87249134748542], [2.322209724045731, 48.87248924371904], [2.322535204960614, 48.87247698911385], [2.3231104106399507, 48.872186198232434], [2.323210974144257, 48.87210084919658]]], ""type"": ""Polygon""}";48.872061345210135, 2.322629928403674
B;170;4190.154493958522;317.7700406462642;"{""coordinates"": [[[2.319026230744003, 48.873285784809354], [2.319186411466291, 48.87330126527863], [2.3194709856012383, 48.873328708048604], [2.3194922918888548, 48.87331466006429], [2.31946081873123, 48.87316416711383], [2.3194140364919256, 48.87293688229687], [2.3193757607063765, 48.87275090935459], [2.3193264265290185, 48.872513437453115], [2.319290702749483, 48.872340461815234], [2.3191927159135655, 48.872350915179844], [2.319141591024517, 48.872356809160735], [2.319105804060851, 48.87236059687453], [2.3189490247888958, 48.87237673218754], [2.3188254750944615, 48.87239020278919], [2.3188390883564987, 48.87244022698746], [2.318789667382492, 48.87245040598403], [2.3187325769211964, 48.87246177880368], [2.318645663230953, 48.87247918819574], [2.318649915227534, 48.872500055536975], [2.3186686151774323, 48.87262167109826], [2.3186907188308963, 48.87275438769896], [2.318698371230532, 48.87279963394393], [2.3187051701204373, 48.8728453016163], [2.3187153732250576, 48.87290452824255], [2.318719623524715, 48.87293136718824], [2.319104745547086, 48.872935501077464], [2.319068901554125, 48.87309827845584], [2.319026230744003, 48.873285784809354]]], ""type"": ""Polygon""}";48.87279624864973, 2.3190970919379854
B;243;2824.757893134975;222.030302747504;"{""coordinates"": [[[2.3102482566451292, 48.87041759854799], [2.31043402015034, 48.870364738820975], [2.3109555328383857, 48.8701957506907], [2.3108525126554844, 48.870059852157866], [2.31071032888527, 48.8698725184202], [2.3105689980644737, 48.86968560578551], [2.3105008291586198, 48.86970266219652], [2.310436923935218, 48.869715645718514], [2.3103900593907247, 48.86972350309486], [2.3103551256857764, 48.86972862414069], [2.310280145558772, 48.86973724849787], [2.310229025108041, 48.8697411709368], [2.310226340552679, 48.86997982979204], [2.3102245397971517, 48.87015771690836], [2.3102236013012645, 48.870320008043514], [2.3102482566451292, 48.87041759854799]]], ""type"": ""Polygon""}";48.87005379299082, 2.3105031023658027
B;232;1776.6312100828245;179.37010853077055;"{""coordinates"": [[[2.317245638896791, 48.8706591240563], [2.317109287349858, 48.87073539923342], [2.3170283292314973, 48.87078048994591], [2.316937143342003, 48.87083140933591], [2.3166669953667314, 48.870982834834386], [2.316671249683334, 48.870995973339845], [2.316678908017122, 48.87102253148668], [2.3166814577180617, 48.87103581045026], [2.3166823046159473, 48.871049299132345], [2.31668315048901, 48.87106587974906], [2.3167998648486163, 48.871091894862154], [2.316997514241366, 48.87113597904507], [2.3171466031871497, 48.87116930583636], [2.317190923039936, 48.87113053169018], [2.3172531295405596, 48.871107357926725], [2.3174252609580384, 48.87104239982794], [2.3173281808708532, 48.870916626183835], [2.3173068914173194, 48.870892805275915], [2.3174219281201665, 48.870849898068194], [2.3173784957519916, 48.87080225770674], [2.317245638896791, 48.8706591240563]]], ""type"": ""Polygon""}";48.87094603366592, 2.317084666860494
B;278;21.49358568031696;21.512375596127363;"{""coordinates"": [[[2.3335642012002493, 48.86888899094659], [2.3334619651578987, 48.868881751230006], [2.3334432203995736, 48.868904443388], [2.333469630082807, 48.86892559101692], [2.333525009998719, 48.868902548860575], [2.3335642012002493, 48.86888899094659]]], ""type"": ""Polygon""}";48.86889955067927, 2.333490372574557
B;352;20077.17200851704;845.5589624888026;"{""coordinates"": [[[2.3617740066830626, 48.86564960427265], [2.361742506223904, 48.8656916937149], [2.361742543993355, 48.86576693833744], [2.361826123260371, 48.86594993621613], [2.3618432741662225, 48.86617454045105], [2.3618467933224676, 48.866399147499315], [2.361880938909093, 48.86653487392528], [2.3619601910461494, 48.86658003062075], [2.362133167923509, 48.86664870276716], [2.362405843029037, 48.866757537115916], [2.3625830822719793, 48.86682789328508], [2.362793554967873, 48.86691165993768], [2.3630270352578844, 48.86700455466675], [2.3630679228458984, 48.86699499012331], [2.3631956005843935, 48.86677885349209], [2.363227095447123, 48.86672770011382], [2.3633675444908584, 48.86649877330746], [2.3634799020295785, 48.86631551928751], [2.3635633169678147, 48.86617835991518], [2.3636637575510635, 48.866014639878394], [2.363750577821078, 48.86587270315419], [2.36387995549294, 48.86566246623469], [2.363959115818164, 48.86553486280383], [2.363605507791944, 48.86541909569033], [2.363449580314434, 48.865368196449325], [2.363292801706526, 48.865316806828034], [2.3631453950218786, 48.86526843469976], [2.363020142085122, 48.865227574695574], [2.3629477877596266, 48.865338104675274], [2.3628090363474503, 48.8655503790336], [2.36277665692602, 48.86553991905838], [2.362773241096637, 48.86552284753075], [2.3626189850501693, 48.865407241183064], [2.362543987671621, 48.86535302146789], [2.3624664336475236, 48.86529297023246], [2.3624144824842497, 48.86532403469429], [2.3622772748384717, 48.86522584814378], [2.3620907539778617, 48.86532171969144], [2.3618148050885837, 48.865463206354306], [2.361875309657478, 48.865499655577665], [2.3618080576370457, 48.865600277018515], [2.361909471724299, 48.86567205560206], [2.3620355998955884, 48.86575956583312], [2.362121674390622, 48.86582024820524], [2.3621387114424044, 48.865815115623334], [2.3621710961426996, 48.86583906503837], [2.362336440203103, 48.86598031279382], [2.362439563334891, 48.86605792234497], [2.3625391942971747, 48.86597288958572], [2.3625579279191666, 48.865954548342664], [2.362592837419247, 48.86591667228759], [2.3626388512650376, 48.865935842203456], [2.3624753695314893, 48.86610674142882], [2.362569957517453, 48.866153439959255], [2.362616823759694, 48.86617548961593], [2.362563202757838, 48.86627343831566], [2.3625274091852395, 48.86624752198708], [2.3624865013496605, 48.86621823465047], [2.3624975664242656, 48.86619884171196], [2.3625001124690526, 48.866180715536565], [2.362439602373498, 48.86613548454934], [2.3623526724675403, 48.86606855013787], [2.362286197217979, 48.866018543254015], [2.3621915969854888, 48.86594816833115], [2.3621430189743475, 48.86591164614947], [2.3620151819966684, 48.86581591593816], [2.3617740066830626, 48.86564960427265]]], ""type"": ""Polygon""}";48.86602450820745, 2.3627643974196633
B;357;6759.370851063;377.0477916809921;"{""coordinates"": [[[2.359657425153103, 48.866609256967], [2.3590208583695844, 48.866223468845405], [2.358675874114732, 48.86633018492351], [2.358392966633061, 48.86617525516612], [2.3583622540966327, 48.86607310863453], [2.3582770528327774, 48.86605373505522], [2.3581381759877535, 48.86602256737349], [2.357972922978309, 48.86607072398688], [2.357834076233417, 48.86611199009451], [2.3578187518243174, 48.86613672343987], [2.3579577132860052, 48.866369524595314], [2.357978173933443, 48.8664038759266], [2.35801824399455, 48.86646997940562], [2.3580642801640317, 48.86654830635389], [2.3580941232906416, 48.86660548832744], [2.358116288156776, 48.86664138484385], [2.358142716835185, 48.86668493873903], [2.3581853432745845, 48.86675392205661], [2.3582339368402825, 48.866832950627604], [2.35826889171296, 48.866890624010885], [2.3583063812531884, 48.86690256053198], [2.3584145688159803, 48.866879986958985], [2.3584290587479018, 48.866898321279514], [2.35849380164549, 48.866884890388285], [2.358619025152813, 48.86685887082723], [2.3587519154738197, 48.866831164575736], [2.3588175092140298, 48.86681759237461], [2.35888054582622, 48.866804441721584], [2.3588660542375957, 48.86678224387154], [2.3589955357088956, 48.86675369439197], [2.3591650551448016, 48.86671663643288], [2.3594359420290356, 48.86665447605218], [2.359657425153103, 48.866609256967]]], ""type"": ""Polygon""}";48.86648541535955, 2.3586120247673725
B;320;7185.1062241876725;381.3970443646968;"{""coordinates"": [[[2.3557158528856053, 48.86749099776869], [2.3556093151597746, 48.867373829024345], [2.3555581714101965, 48.8672997878178], [2.3556092442100907, 48.86718406744147], [2.3556620250965215, 48.86707516245087], [2.3556909063734133, 48.86685061992143], [2.3556090976643964, 48.86678993253422], [2.3549266483111846, 48.86666091489155], [2.354512595155114, 48.866626204581074], [2.354280844101959, 48.866555492836774], [2.354362674543075, 48.86668334599215], [2.3544871257098277, 48.866879410261724], [2.354510133272059, 48.86689254423775], [2.354546764815765, 48.86688839347074], [2.354578288962636, 48.866895203318336], [2.354597047265549, 48.86693630010468], [2.3546021648940814, 48.86695323084432], [2.35463369741034, 48.86698357651564], [2.3546354076667884, 48.86700331821153], [2.354663533456989, 48.86703675543017], [2.354660985616923, 48.867058324112875], [2.3546413940359305, 48.867065774750905], [2.3546226557336576, 48.867081374431905], [2.354747966473646, 48.867291840554564], [2.354782916895965, 48.86734705612555], [2.3548979930014746, 48.8675230283555], [2.3549227134609376, 48.867562227212005], [2.3549124936424732, 48.86757255683258], [2.354909091093578, 48.867584992581776], [2.3549252842256414, 48.86760452093359], [2.3549440288190584, 48.86760999822476], [2.354960222657724, 48.867627489565535], [2.3550181617271333, 48.86764525443398], [2.3550513868585816, 48.86763990971612], [2.3551578717041033, 48.86761769144636], [2.3551817250374754, 48.86761220716492], [2.355225169775911, 48.867600397227164], [2.355253281935107, 48.867594350402555], [2.3554253620189223, 48.86755427625402], [2.3557158528856053, 48.86749099776869]]], ""type"": ""Polygon""}";48.86708731595959, 2.3550997535527194
B;433;3341.9768000917616;258.8895029177488;"{""coordinates"": [[[2.3305981242669294, 48.86503119807213], [2.330666263594418, 48.86513904475894], [2.330837463025463, 48.86540792270259], [2.3309976338992673, 48.86532509800637], [2.3310998691840443, 48.8652722707623], [2.331131392057069, 48.86525583241745], [2.331227664448448, 48.86520588471973], [2.331342678653567, 48.86514638357522], [2.3314380982728085, 48.8650969975293], [2.331622121515753, 48.86500138791458], [2.331704760427913, 48.86495895686932], [2.331789955835436, 48.86491476922663], [2.331858963605702, 48.86488217276362], [2.331784857705503, 48.86478086135707], [2.3317073463934777, 48.86466992405824], [2.331699680587465, 48.86465776975223], [2.331101622125326, 48.864855583737544], [2.3305981242669294, 48.86503119807213]]], ""type"": ""Polygon""}";48.86501221492167, 2.3312039600147574
B;385;6192.848313606075;318.9335084589237;"{""coordinates"": [[[2.3273795056791458, 48.86559830417707], [2.3272066005864556, 48.86542630363526], [2.3269382302918222, 48.865513539501606], [2.3261390756321894, 48.86577236313324], [2.3261629234532464, 48.86580383961734], [2.326547031694365, 48.86631877896083], [2.3269491686922197, 48.86618792620063], [2.3276673873016063, 48.86595389174482], [2.327718505979383, 48.865937245111866], [2.3273795056791458, 48.86559830417707]]], ""type"": ""Polygon""}";48.86586790508831, 2.326906386269465
