Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
ELEMENTAIRES (année scolaire 2022/2023);GILBERT CESBRON (1) POLY;1 RUE GILBERT CESBRON;17ème Ardt;75117;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3141714544791356, 48.89340359717558], ""type"": ""Point""}";48.89340359717558, 2.3141714544791356
ELEMENTAIRES (année scolaire 2022/2023);BERNARD BUFFET (14) POLY;14 RUE BERNARD BUFFET;17ème Ardt;75117;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3160474717627473, 48.891687680548905], ""type"": ""Point""}";48.891687680548905, 2.3160474717627473
ELEMENTAIRES (année scolaire 2022/2023);CLAUDE VELLEFAUX (33) ELEM;33 AVENUE CLAUDE VELLEFAUX;10ème Ardt;75110;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.370133568074786, 48.87686235763899], ""type"": ""Point""}";48.87686235763899, 2.370133568074786
ELEMENTAIRES (année scolaire 2022/2023);EVANGILE (33) ELEM;33 RUE DE L'EVANGILE;18ème Ardt;75118;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3651224005960807, 48.89406873070228], ""type"": ""Point""}";48.89406873070228, 2.3651224005960807
ELEMENTAIRES (année scolaire 2022/2023);LESSEPS (11) ELEM A;11 RUE DE LESSEPS;20ème Ardt;75120;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.399715638303088, 48.85905211145858], ""type"": ""Point""}";48.85905211145858, 2.399715638303088
ELEMENTAIRES (année scolaire 2022/2023);DUQUESNE (42) ELEM;42 AVENUE DUQUESNE;7ème Ardt;75107;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.313024269188942, 48.84959294215656], ""type"": ""Point""}";48.84959294215656, 2.313024269188942
ELEMENTAIRES (année scolaire 2022/2023);IVRY (47) ELEM B;47 AVENUE D'IVRY (ECOLE B);13ème Ardt;75113;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.365782181735675, 48.82306036550549], ""type"": ""Point""}";48.82306036550549, 2.365782181735675
ELEMENTAIRES (année scolaire 2022/2023);PAUL VALERY (18) POLY;18 RUE PAUL VALERY;16ème Ardt;75116;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.2900006682192444, 48.87034290370526], ""type"": ""Point""}";48.87034290370526, 2.2900006682192444
ELEMENTAIRES (année scolaire 2022/2023);ARBRE SEC (15) ELEM;15 RUE DE L'ARBRE SEC;1er Ardt;75101;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.341922027050532, 48.85965121371535], ""type"": ""Point""}";48.85965121371535, 2.341922027050532
ELEMENTAIRES (année scolaire 2022/2023);DAMREMONT (65) ELEM B;65 RUE DAMREMONT;18ème Ardt;75118;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.335058903965475, 48.89195637084083], ""type"": ""Point""}";48.89195637084083, 2.335058903965475
ELEMENTAIRES (année scolaire 2022/2023);CHERBOURG (15) ELEM;15 RUE DE CHERBOURG;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3040995473322767, 48.83106253163441], ""type"": ""Point""}";48.83106253163441, 2.3040995473322767
ELEMENTAIRES (année scolaire 2022/2023);LOUIS BLANC (49B) ELEM;49 bis RUE LOUIS BLANC;10ème Ardt;75110;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.362516253533549, 48.88240948656542], ""type"": ""Point""}";48.88240948656542, 2.362516253533549
ELEMENTAIRES (année scolaire 2022/2023);BAUCHES (10) ELEM;10 RUE DES BAUCHES;16ème Ardt;75116;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.2740406982019294, 48.85595162146971], ""type"": ""Point""}";48.85595162146971, 2.2740406982019294
ELEMENTAIRES (année scolaire 2022/2023);GODEFROY CAVAIGNAC (35) ELEM;35 RUE GODEFROY CAVAIGNAC;11ème Ardt;75111;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3804942839878795, 48.85608077094007], ""type"": ""Point""}";48.85608077094007, 2.3804942839878795
ELEMENTAIRES (année scolaire 2022/2023);TRUFFAUT (15) POLY;15 RUE TRUFFAUT;17ème Ardt;75117;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.322540242614652, 48.88493024951725], ""type"": ""Point""}";48.88493024951725, 2.322540242614652
ELEMENTAIRES (année scolaire 2022/2023);BARBANEGRE (7) ELEM B;7 RUE BARBANEGRE;19ème Ardt;75119;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.382861773109085, 48.89213866778307], ""type"": ""Point""}";48.89213866778307, 2.382861773109085
ELEMENTAIRES (année scolaire 2022/2023);VILLETTE (61) ELEM;61 RUE DE LA VILLETTE;19ème Ardt;75119;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.388081995529941, 48.87841779580429], ""type"": ""Point""}";48.87841779580429, 2.388081995529941
ELEMENTAIRES (année scolaire 2022/2023);FONDARY (12) ELEM;12 RUE FONDARY;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.2922481732760325, 48.848405604867764], ""type"": ""Point""}";48.848405604867764, 2.2922481732760325
ELEMENTAIRES (année scolaire 2022/2023);PROVIDENCE (5) ELEM A;5 RUE DE LA PROVIDENCE;13ème Ardt;75113;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3488832432127746, 48.82534794391871], ""type"": ""Point""}";48.82534794391871, 2.3488832432127746
ELEMENTAIRES (année scolaire 2022/2023);HOUDON (15) ELEM;15 RUE HOUDON;18ème Ardt;75118;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.338452334183276, 48.883228400416456], ""type"": ""Point""}";48.883228400416456, 2.338452334183276
ELEMENTAIRES (année scolaire 2022/2023);DAMREMONT (67) ELEM A;67 RUE DAMREMONT;18ème Ardt;75118;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3353586926764733, 48.89237869925132], ""type"": ""Point""}";48.89237869925132, 2.3353586926764733
ELEMENTAIRES (année scolaire 2022/2023);DAVOUT (51) POLY;51 BD DAVOUT;20ème Ardt;75120;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.410732854164186, 48.85132892108274], ""type"": ""Point""}";48.85132892108274, 2.410732854164186
ELEMENTAIRES (année scolaire 2022/2023);BAUCHES (15) ELEM;15 RUE DES BAUCHES;16ème Ardt;75116;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.273564906582162, 48.85598013689167], ""type"": ""Point""}";48.85598013689167, 2.273564906582162
ELEMENTAIRES (année scolaire 2022/2023);QUATRE FILS (10 B) ELEM;10 bis RUE DES QUATRE FILS;3ème Ardt;75103;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3601561880625743, 48.860411900549714], ""type"": ""Point""}";48.860411900549714, 2.3601561880625743
