N_SQ_CA;NUMEVP;TEXTE;ST_AREA(SHAPE);ST_PERIMETER(SHAPE);GEO_SHAPE;GEO_POINT_2D
8;52;août-52;329.27773193837106;72.94637004376628;"{""coordinates"": [[[2.303434997841542, 48.87266437159154], [2.3032595570892633, 48.87254825801864], [2.3032408201578165, 48.87253574701496], [2.303086529928912, 48.87264115654094], [2.303273891792772, 48.87276970840789], [2.303434997841542, 48.87266437159154]]], ""type"": ""Polygon""}";48.87265283287503, 2.3032596245004116
9;46;sept-46;293.1427482489791;80.76193749712958;"{""coordinates"": [[[2.329593871019267, 48.88045935645837], [2.3295630209728118, 48.8805257308097], [2.3296459530529376, 48.88054265481526], [2.3296340191033638, 48.88056893037903], [2.3299595420774657, 48.88062669935023], [2.3299680767445925, 48.88053522641472], [2.329593871019267, 48.88045935645837]]], ""type"": ""Polygon""}";48.88054357666446, 2.3297758542183833
19;15;19-15;4467.007966447406;395.51783206409584;"{""coordinates"": [[[2.3982159179706017, 48.88799787340014], [2.3984903423721167, 48.88798367425601], [2.3985325453877033, 48.88833970812155], [2.398543737539445, 48.88843075315386], [2.398597430119703, 48.888427913890446], [2.3989758307446065, 48.888408176191305], [2.399030375118042, 48.88840561710108], [2.3990311387626373, 48.888335079987414], [2.3991163621722817, 48.8883288509193], [2.3991415514463617, 48.88822372437479], [2.399141561369134, 48.887679104373355], [2.399124929338062, 48.887681930215635], [2.399102774026033, 48.887685595283294], [2.399084027735202, 48.88768869739308], [2.3988599180502526, 48.887724228809056], [2.3988198675489727, 48.88773015210904], [2.3985309965358836, 48.88777639690945], [2.398490945689818, 48.88778246129127], [2.398289842394309, 48.88781390378423], [2.398185882144429, 48.88783025978032], [2.398141605031247, 48.88786499026264], [2.398134042578759, 48.88795281416465], [2.3981306764165597, 48.88798836540896], [2.398118913904644, 48.88812677570014], [2.398116390571669, 48.88815347375934], [2.3981063123729203, 48.88827488183427], [2.398103787394307, 48.88830172107489], [2.398092853557302, 48.888420459243726], [2.3981431787441063, 48.888451625473], [2.3982258474605374, 48.88844722510719], [2.3982667545697156, 48.888445235445246], [2.398268459530171, 48.88844509472599], [2.3982581179493763, 48.888353064688], [2.3982159232149916, 48.88800166766369], [2.3982159179706017, 48.88799787340014]]], ""type"": ""Polygon""}";48.888062624741245, 2.398696363651886
18;30;18-30;1879.5143899195741;217.22368185936853;"{""coordinates"": [[[2.336256288757922, 48.89540956903704], [2.336527959532407, 48.89614598315388], [2.336845067869585, 48.89609132339774], [2.336635372523364, 48.89547658519723], [2.3364440425943975, 48.89550678829757], [2.336396692928154, 48.89538651693761], [2.336256288757922, 48.89540956903704]]], ""type"": ""Polygon""}";48.89578084868557, 2.336558344530592
20;6;20-juin;4744.541515387887;596.5128082759809;"{""coordinates"": [[[2.408187746787523, 48.86233181347007], [2.4082916249959294, 48.86229739309307], [2.4086143246439002, 48.862189769431176], [2.408733528331348, 48.86215021091661], [2.4088331473067917, 48.862116776286946], [2.4088610565201054, 48.86197751168974], [2.4088728934380588, 48.86191539776207], [2.408644572099467, 48.86189896116944], [2.4086589536895597, 48.86182883680251], [2.4086074451164015, 48.861823783387344], [2.408611644419956, 48.86177145434545], [2.408445880131448, 48.861759927519216], [2.4084617634411747, 48.86163151254031], [2.408332047812451, 48.86162135266229], [2.4083348707561476, 48.86156445714995], [2.4082871418467535, 48.86154755546125], [2.408311592118416, 48.86137042499315], [2.4075235543912066, 48.86131260342833], [2.4075066470930633, 48.86140429761115], [2.407686409737248, 48.86142111751363], [2.4076610609635685, 48.86156607124189], [2.4075145293467086, 48.861556537722436], [2.407497580202965, 48.86161858396405], [2.407527399550827, 48.86162207804677], [2.408202980785761, 48.861667253641], [2.408182699484207, 48.86178079959934], [2.4085055995121496, 48.8618144602114], [2.408458238655852, 48.862053711852184], [2.408189029988525, 48.86203814340244], [2.408200007966698, 48.861970479951566], [2.4080884054276503, 48.86196450768599], [2.408060494678559, 48.86210468583844], [2.4080332298995613, 48.862100908644216], [2.407832170069244, 48.86208536709375], [2.4077801976062796, 48.862079498024215], [2.407797122017793, 48.86199946571004], [2.407557979272624, 48.861981589409346], [2.4075332817479427, 48.862092114066], [2.407873961332173, 48.8621205393814], [2.4078274272704627, 48.8623443333334], [2.408088127227924, 48.8623651063606], [2.408187746787523, 48.86233181347007]]], ""type"": ""Polygon""}";48.8618486502706, 2.408161772462424
16;4;16-avr;1925.4014555360527;260.95292703835804;"{""coordinates"": [[[2.271573526523189, 48.86511029114165], [2.271535552911118, 48.8648347961296], [2.2714895557287336, 48.864830905248425], [2.271384766633544, 48.86483414714686], [2.271109589066064, 48.86484326378482], [2.271095995103507, 48.864815926114126], [2.2710645625857158, 48.86474944609239], [2.270898356691765, 48.86481258089602], [2.2707428058638324, 48.8645512795577], [2.270496529655281, 48.864608886814395], [2.270766162751299, 48.864924492245315], [2.2708573472655558, 48.86490122036533], [2.270984964662541, 48.86502894858374], [2.2711656586926416, 48.86496153644261], [2.2712336225948007, 48.86510433577621], [2.2712463656971718, 48.86513033720092], [2.271573526523189, 48.86511029114165]]], ""type"": ""Polygon""}";48.864875942850915, 2.2710791135139963
20;63;20-63;339.0707877718284;106.10432636715785;"{""coordinates"": [[[2.401407076989367, 48.86178462682687], [2.4011607514457483, 48.86167565864548], [2.401244125665333, 48.86159334168276], [2.4010404373755216, 48.86151842341856], [2.4009383626772776, 48.8616324357042], [2.4013781484608647, 48.861810988450124], [2.401407076989367, 48.86178462682687]]], ""type"": ""Polygon""}";48.86164671877679, 2.401133957847729
20;166;20-166;400.7936087422213;106.64898179016923;"{""coordinates"": [[[2.3983792816833702, 48.863901899769765], [2.3984030811419847, 48.86388719196888], [2.398423983704806, 48.863890213601636], [2.398430634226952, 48.863885974261116], [2.3984578720782, 48.86390367530026], [2.398536137188761, 48.863852041773754], [2.3984493727237304, 48.86379438961393], [2.398363128278495, 48.86384882669068], [2.39825234872566, 48.86377488530306], [2.3981751096539643, 48.863831493567226], [2.398195572719121, 48.863845181914186], [2.3981257733312207, 48.863890112736364], [2.3981684018532703, 48.86391868423363], [2.3982101794845856, 48.86394634220235], [2.398345741770416, 48.86403767195567], [2.398413840992464, 48.86399477936519], [2.398387608072986, 48.86397799260304], [2.398400320166507, 48.863969995710484], [2.3983845961288477, 48.863959767605266], [2.398408614594017, 48.86394462922114], [2.398372489567681, 48.863920169915076], [2.3983784482718002, 48.86391658361879], [2.3983792816833702, 48.863901899769765]]], ""type"": ""Polygon""}";48.86389359542617, 2.3983181127329107
10;10;10-oct;326.3260563100647;77.38264217876923;"{""coordinates"": [[[2.360428846892072, 48.88197665179983], [2.360476620991099, 48.88208286872846], [2.3608191701404753, 48.88200832515347], [2.3607654291127114, 48.88190126710187], [2.360428846892072, 48.88197665179983]]], ""type"": ""Polygon""}";48.881992295601, 2.360623097820707
8;14;août-14;1043.4414134325357;130.02781449055414;"{""coordinates"": [[[2.3191246660043743, 48.88151950549113], [2.3195021595373433, 48.881595017630914], [2.3196437316054146, 48.88128366428295], [2.3192679450009646, 48.88120843476043], [2.3191246660043743, 48.88151950549113]]], ""type"": ""Polygon""}";48.88140177028316, 2.319384567079131
